age,bisexual_x,gay_x,straight_x,bisexual_y,gay_y,straight_y
18,1000000.0,40000.0,780000.0,1000000.0,20000.0,22941.176470588234
19,40000.0,330000.0,6670000.0,20000.0,66000.0,101060.60606060606
20,1210000.0,2320000.0,16590000.0,121000.0,154666.66666666666,105000.0
21,280000.0,1340000.0,18370000.0,25454.545454545456,78823.5294117647,114812.5
22,240000.0,420000.0,29060000.0,24000.0,22105.263157894737,119588.47736625515
23,2430000.0,2910000.0,37360000.0,135000.0,78648.64864864865,106438.74643874644
24,2320000.0,1980000.0,37720000.0,178461.53846153847,63870.967741935485,96717.94871794872
25,2600000.0,3090000.0,53520000.0,136842.1052631579,99677.41935483871,120269.66292134831
26,400000.0,3260000.0,50530000.0,36363.63636363636,90555.55555555556,115894.49541284403
27,400000.0,1100000.0,57180000.0,30769.23076923077,40740.74074074074,124034.7071583514
28,1490000.0,3450000.0,47000000.0,135454.54545454544,98571.42857142857,103524.22907488987
29,1340000.0,1450000.0,43940000.0,134000.0,42647.05882352941,102424.24242424243
30,2570000.0,2340000.0,41260000.0,197692.3076923077,111428.57142857143,104720.81218274112
31,1560000.0,4620000.0,42400000.0,130000.0,256666.66666666666,125443.78698224852
32,2240000.0,1990000.0,41230000.0,280000.0,104736.84210526316,124939.39393939394
33,3230000.0,790000.0,35070000.0,358888.8888888889,49375.0,131842.1052631579
34,120000.0,700000.0,29970000.0,60000.0,63636.36363636364,125924.36974789915
35,380000.0,850000.0,24850000.0,42222.22222222222,65384.61538461538,112443.43891402715
36,30000.0,900000.0,20270000.0,30000.0,75000.0,105025.9067357513
37,340000.0,1730000.0,24290000.0,68000.0,64074.07407407407,127172.77486910994
38,250000.0,440000.0,18950000.0,50000.0,62857.142857142855,101336.89839572193
39,290000.0,430000.0,20660000.0,72500.0,61428.57142857143,130759.49367088608
40,90000.0,1140000.0,17400000.0,30000.0,81428.57142857143,137007.87401574804
41,80000.0,1170000.0,16670000.0,80000.0,106363.63636363637,114965.5172413793
42,120000.0,1980000.0,16720000.0,60000.0,152307.6923076923,117746.47887323944
43,170000.0,720000.0,11050000.0,56666.666666666664,72000.0,99549.54954954956
44,170000.0,1720000.0,9810000.0,85000.0,191111.11111111112,111477.27272727272
45,1350000.0,370000.0,8500000.0,450000.0,46250.0,95505.61797752809
46,30000.0,350000.0,10050000.0,30000.0,58333.333333333336,121084.3373493976
47,110000.0,630000.0,8970000.0,55000.0,90000.0,122876.71232876713
48,100000.0,740000.0,5710000.0,100000.0,82222.22222222222,89218.75
49,150000.0,280000.0,6720000.0,75000.0,56000.0,124444.44444444444
50,20000.0,1560000.0,3900000.0,20000.0,195000.0,82978.72340425532
51,,270000.0,4340000.0,,67500.0,120555.55555555556
52,30000.0,100000.0,4450000.0,30000.0,33333.333333333336,101136.36363636363
53,1050000.0,200000.0,1940000.0,525000.0,100000.0,88181.81818181818
54,,380000.0,3080000.0,,95000.0,81052.63157894737
55,,250000.0,4000000.0,,62500.0,114285.71428571429
56,120000.0,280000.0,2780000.0,60000.0,93333.33333333333,71282.05128205128
57,40000.0,80000.0,3350000.0,20000.0,40000.0,85897.43589743589
58,,150000.0,1930000.0,,150000.0,87727.27272727272
59,,180000.0,2990000.0,,90000.0,99666.66666666667
60,,,1630000.0,,,95882.35294117648
61,,150000.0,2450000.0,,75000.0,128947.36842105263
62,,230000.0,1210000.0,,76666.66666666667,67222.22222222222
63,,30000.0,1060000.0,,30000.0,81538.46153846153
64,,,770000.0,,,85555.55555555556
65,,100000.0,670000.0,,100000.0,51538.46153846154
66,,,1260000.0,,,96923.07692307692
67,,50000.0,410000.0,,50000.0,82000.0
68,,,1600000.0,,,145454.54545454544
69,80000.0,,120000.0,80000.0,,40000.0
